人生,ㄖㄣˊ ㄕㄥ,life (one's time on earth),
人事,ㄖㄣˊ ㄕˋ,personnel / human resources / human affairs / ways of the world / (euphemism) sexuality / the facts of life,
人體,ㄖㄣˊ ㄊㄧˇ,human body,
人心,ㄖㄣˊ ㄒㄧㄣ,popular feeling / the will of the people,
人行道,ㄖㄣˊ ㄒㄧㄥˊ ㄉㄠˋ,sidewalk,
人員,ㄖㄣˊ ㄩㄢˊ,staff / crew / personnel,個
忍不住,ㄖㄣˇ ㄅㄨˋ ㄓㄨˋ,cannot help / unable to bear,
忍受,ㄖㄣˇ ㄕㄡˋ,to bear / to endure,
忍心,ㄖㄣˇ ㄒㄧㄣ,to have the heart to do sth / to steel oneself to a task,
任,ㄖㄣˋ,"to assign / to appoint / to take up a post / office / responsibility / to let / to allow / to give free rein to / no matter (how, what etc) / classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)",
任性,ㄖㄣˋ ㄒㄧㄥˋ,willful / headstrong / unruly,
日常,ㄖˋ ㄔㄤˊ,daily / everyday,
日後,ㄖˋ ㄏㄡˋ,sometime / someday (in the future),
日用品,ㄖˋ ㄩㄥˋ ㄆㄧㄣˇ,articles for daily use,件 / 個
容,ㄖㄨㄥˊ,to hold / to contain / to allow / to tolerate / appearance / look / countenance,
融化,ㄖㄨㄥˊ ㄏㄨㄚˋ,to melt / to thaw / to dissolve / to blend into / to combine / to fuse,
榮幸,ㄖㄨㄥˊ ㄒㄧㄥˋ,honored (to have the privilege of ...),
如,ㄖㄨˊ,as / as if / such as,
如果說,ㄖㄨˊ ㄍㄨㄛˇ ㄕㄨㄛ,if,
如何,ㄖㄨˊ ㄏㄜˊ,how / what way / what,
如何,ㄖㄨˊ ㄏㄜˊ,how / what way / what,
如今,ㄖㄨˊ ㄐㄧㄣ,nowadays / now,
如同,ㄖㄨˊ ㄊㄨㄥˊ,like / as,
入,ㄖㄨˋ,to enter / to go into / to join / to become a member of / to confirm or agree with / abbr. for 入聲声[ru4 sheng1],
入境,ㄖㄨˋ ㄐㄧㄥˋ,to enter a country,
入口,ㄖㄨˋ ㄎㄡˇ,entrance / to import,
入學,ㄖㄨˋ ㄒㄩㄝˊ,to enter a school or college / to go to school for the first time as a child,
軟,ㄖㄨㄢˇ,soft / flexible,
塞,ㄙㄞ,to stop up / to stuff / to cope with,
賽跑,ㄙㄞˋ ㄆㄠˇ,race (running) / to race (running),
三角形,ㄙㄢ ㄐㄧㄠˇ ㄒㄧㄥˊ,triangle,
散,ㄙㄢˋ,to scatter / to break up (a meeting etc) / to disperse / to disseminate / to dispel / (coll.) to sack,
散,ㄙㄢˋ,to scatter / to break up (a meeting etc) / to disperse / to disseminate / to dispel / (coll.) to sack,
喪失,ㄙㄤˋ ㄕ,to lose / to forfeit,
艘,ㄙㄠ,classifier for ships / Taiwan pr. [sao1],
掃,ㄙㄠˇ,broom,
色彩,ㄙㄜˋ ㄘㄞˇ,tint / coloring / coloration / (fig.) flavor / character,
色情,ㄙㄜˋ ㄑㄧㄥˊ,erotic / pornographic,
沙,ㄕㄚ,granule / hoarse / raspy / sand / powder / abbr. for Tsar or Tsarist Russia,粒
沙漠,ㄕㄚ ㄇㄛˋ,desert,個
沙灘,ㄕㄚ ㄊㄢ,beach / sandy shore,片
沙子,ㄕㄚ ㄗ˙,sand / grit,粒 / 把
殺價,ㄕㄚ ㄐㄧㄚˋ,to beat down the price / to haggle / to slash one's prices,
傻,ㄕㄚˇ,foolish,
曬太陽,ㄕㄞˋ ㄊㄞˋ ㄧㄤˊ,to be in the sun (getting warm or sunbathing etc) / to put sth in the sun (e.g. to dry it),
山地,ㄕㄢ ㄉㄧˋ,mountainous region / hilly area / hilly country,
閃,ㄕㄢˇ,"to dodge / to duck out of the way / to beat it / shaken (by a fall) / to sprain / to pull a muscle / lightning / spark / a flash / to flash (across one's mind) / to leave behind / (Internet slang) (of a display of affection) ""dazzlingly"" saccharine",
閃,ㄕㄢˇ,"to dodge / to duck out of the way / to beat it / shaken (by a fall) / to sprain / to pull a muscle / lightning / spark / a flash / to flash (across one's mind) / to leave behind / (Internet slang) (of a display of affection) ""dazzlingly"" saccharine",
善於,ㄕㄢˋ ㄩˊ,to be good at / to be adept at,
扇子,ㄕㄢˋ ㄗ˙,fan,把
傷,ㄕㄤ,to injure / injury / wound,
傷,ㄕㄤ,to injure / injury / wound,
傷腦筋,ㄕㄤ ㄋㄠˇ ㄐㄧㄣ,to be a real headache / to find sth a real headache / to beat one's brains,
商標,ㄕㄤ ㄅㄧㄠ,trademark / logo,
商場,ㄕㄤ ㄔㄤˇ,shopping mall / shopping center / department store / emporium / the business world,家
商量,ㄕㄤ ㄌㄧㄤˋ,to consult / to talk over / to discuss,
上,ㄕㄤˋ,on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university),
上級,ㄕㄤˋ ㄐㄧˊ,higher authorities / superiors,個
上升,ㄕㄤˋ ㄕㄥ,to rise / to go up / to ascend,
上市,ㄕㄤˋ ㄕˋ,to hit the market (of a new product) / to float (a company on the stock market),
上述,ㄕㄤˋ ㄕㄨˋ,aforementioned / above-mentioned,
上台,ㄕㄤˋ ㄊㄞˊ,to rise to power (in politics) / to go on stage (in the theater),
上臺,ㄕㄤˋ ㄊㄞˊ,to rise to power (in politics) / to go on stage (in the theater),
上頭,ㄕㄤˋ ㄊㄡˊ,above / on top of / on the surface of,
上下,ㄕㄤˋ ㄒㄧㄚˋ,up and down / top and bottom / old and new / length / about,
上游,ㄕㄤˋ ㄧㄡˊ,upper reaches (of a river) / upper level / upper echelon / upstream,
稍,ㄕㄠ,see 稍息[shao4 xi1],
稍微,ㄕㄠ ㄨㄟˊ,a little bit,
少數,ㄕㄠˇ ㄕㄨˋ,small number / few / minority,
少年,ㄕㄠˋ ㄋㄧㄢˊ,early youth / youngster / (literary) youth / young man,
少女,ㄕㄠˋ ㄋㄩˇ,girl / young lady,
舌頭,ㄕㄜˊ ㄊㄡˊ,tongue / enemy soldier captured for the purpose of extracting information,個
捨不得,ㄕㄜˇ ㄅㄨˋ ㄉㄜ˙,to hate to do sth / to hate to part with / to begrudge,
捨得,ㄕㄜˇ ㄉㄜ˙,to be willing to part with sth,
射,ㄕㄜˋ,to shoot / to launch / to allude to / radio- (chemistry),
社會,ㄕㄜˋ ㄏㄨㄟˋ,society,個
社交,ㄕㄜˋ ㄐㄧㄠ,interaction / social contact,
社團,ㄕㄜˋ ㄊㄨㄢˊ,association / society / group / union / club / organization,
設立,ㄕㄜˋ ㄌㄧˋ,to set up / to establish,
設置,ㄕㄜˋ ㄓˋ,to set up / to install,
攝影,ㄕㄜˋ ㄧㄥˇ,to take a photograph / photography / to shoot (a movie),
申請,ㄕㄣ ㄑㄧㄥˇ,to apply for sth / application (form etc),份
伸,ㄕㄣ,to stretch / to extend,
伸手,ㄕㄣ ㄕㄡˇ,to reach out with one's hand / to hold out a hand / (fig.) to beg / to get involved / to meddle,
身材,ㄕㄣ ㄘㄞˊ,stature / build (height and weight) / figure,
身分,ㄕㄣ ㄈㄣˋ,variant of 身份 / identity / status / capacity / dignity / position / rank,
身分證,ㄕㄣ ㄈㄣˋ ㄓㄥˋ,identity card / also written 身份證份证[shen1 fen4 zheng4],
深刻,ㄕㄣ ㄎㄜˋ,profound / deep / deep-going,
深淺,ㄕㄣ ㄑㄧㄢˇ,deep or shallow / depth (of the sea) / limits of decorum,
深夜,ㄕㄣ ㄧㄝˋ,very late at night,
神,ㄕㄣˊ,deity / soul / spirit / unusual / mysterious / lively / expressive / expression / look / (slang) awesome / amazing,個
神話,ㄕㄣˊ ㄏㄨㄚˋ,legend / fairy tale / myth / mythology,
神經,ㄕㄣˊ ㄐㄧㄥ,nerve / mental state / (coll.) unhinged / nutjob,
神秘,ㄕㄣˊ ㄇㄧˋ,mysterious / mystery,
神奇,ㄕㄣˊ ㄑㄧˊ,magical / mystical / miraculous,
神氣,ㄕㄣˊ ㄑㄧˋ,expression / manner / vigorous / impressive / lofty / pretentious,
神聖,ㄕㄣˊ ㄕㄥˋ,divine / hallow / holy / sacred,
神仙,ㄕㄣˊ ㄒㄧㄢ,"Daoist immortal / supernatural entity / (in modern fiction) fairy, elf, leprechaun etc / fig. lighthearted person",
審查,ㄕㄣˇ ㄔㄚˊ,to examine / to investigate / to censor out / censorship,
慎重,ㄕㄣˋ ㄓㄨㄥˋ,cautious / careful / prudent,
升,ㄕㄥ,to ascend / to rise to the rank of / to promote / to hoist / liter / measure for dry grain equal to one-tenth dou 斗[dou3],
升高,ㄕㄥ ㄍㄠ,to raise / to ascend,
升級,ㄕㄥ ㄐㄧˊ,to escalate (in intensity) / to go up by one grade / to be promoted / to upgrade (computing),
升學,ㄕㄥ ㄒㄩㄝˊ,to enter the next grade school,
生,ㄕㄥ,to be born / to give birth / life / to grow / raw / uncooked / student,
生存,ㄕㄥ ㄘㄨㄣˊ,to exist / to survive,
生肖,ㄕㄥ ㄒㄧㄠˋ,one of the twelve animals symbolic of the earthly branches 地支[di4 zhi1] / animal from the Chinese zodiac,
生長,ㄕㄥ ㄓㄤˇ,to grow,
聲,ㄕㄥ,sound / voice / tone / noise / reputation / classifier for sounds,
繩,ㄕㄥˊ,rope,根
繩子,ㄕㄥˊ ㄗ˙,cord / string / rope,條
省,ㄕㄥˇ,to inspect / to examine / to be aware / to pay a visit (to one's parents or elders),
省得,ㄕㄥˇ ㄉㄜ˙,to avoid / so as to save (money or time),
勝,ㄕㄥˋ,victory / success / to beat / to defeat / to surpass / victorious / superior to / to get the better of / better than / surpassing / superb (of vista) / beautiful (scenery) / wonderful (view) / (Taiwan pr. [sheng1]) able to bear / equal to (a task),
勝利,ㄕㄥˋ ㄌㄧˋ,victory,個
失敗,ㄕ ㄅㄞˋ,to be defeated / to lose / to fail (e.g. experiments) / failure / defeat,次
失掉,ㄕ ㄉㄧㄠˋ,to lose / to miss,
失眠,ㄕ ㄇㄧㄢˊ,to suffer from insomnia,
失望,ㄕ ㄨㄤˋ,disappointed / to lose hope / to despair,
失業,ㄕ ㄧㄝˋ,unemployment / to lose one's job,
溼,ㄕ,variant of 濕[shi1],
詩,ㄕ,poem / poetry / verse,首
詩人,ㄕ ㄖㄣˊ,bard / poet,
師父,ㄕ ㄈㄨˋ,used for 師傅傅 (in Taiwan) / master / qualified worker,
師傅,ㄕ ㄈㄨˋ,master / qualified worker / respectful form of address for older men,個 / 位 / 名
師母,ㄕ ㄇㄨˇ,term of respect for your teacher's wife,
施工,ㄕ ㄍㄨㄥ,construction / to carry out construction or large-scale repairs,
時常,ㄕˊ ㄔㄤˊ,often / frequently,
時機,ㄕˊ ㄐㄧ,fortunate timing / occasion / opportunity,
時期,ㄕˊ ㄑㄧˊ,period / phase,個
時時,ㄕˊ ㄕˊ,often / constantly,
食品,ㄕˊ ㄆㄧㄣˇ,foodstuff / food / provisions,種
實用,ㄕˊ ㄩㄥˋ,practical / functional / pragmatic / applied (science),
實在,ㄕˊ ㄗㄞˋ,really / actually / indeed / true / real / honest / dependable / (philosophy) reality,
實施,ㄕˊ ㄕ,to implement / to carry out,
實現,ㄕˊ ㄒㄧㄢˋ,to achieve / to implement / to realize / to bring about,
實驗,ㄕˊ ㄧㄢˋ,experiment / test / experimental / to experiment,個 / 次
實驗,ㄕˊ ㄧㄢˋ,experiment / test / experimental / to experiment,個 / 次
使,ㄕˇ,to make / to cause / to enable / to use / to employ / to send / to instruct sb to do sth / envoy / messenger,
始終,ㄕˇ ㄓㄨㄥ,from beginning to end / all along,
示威,ㄕˋ ㄨㄟ,to demonstrate (as a protest) / a demonstration / a military show of force,
式樣,ㄕˋ ㄧㄤˋ,style,
世,ㄕˋ,life / age / generation / era / world / lifetime / epoch / descendant / noble,
世紀,ㄕˋ ㄐㄧˋ,century,個
市立,ㄕˋ ㄌㄧˋ,municipal / city / city-run,
市民,ㄕˋ ㄇㄧㄣˊ,city resident,
市區,ㄕˋ ㄑㄩ,urban district / downtown / city center,
視,ㄕˋ,to look at / to regard / to inspect,
視野,ㄕˋ ㄧㄝˇ,field of view / horizon,
適當,ㄕˋ ㄉㄤˋ,suitable / appropriate,
適合,ㄕˋ ㄏㄜˊ,to fit / to suit,
適用,ㄕˋ ㄩㄥˋ,to be applicable,
是非,ㄕˋ ㄈㄟ,right and wrong / quarrel,
是否,ㄕˋ ㄈㄡˇ,whether (or not) / if / is or isn't,
事件,ㄕˋ ㄐㄧㄢˋ,event / happening / incident,個
事實上,ㄕˋ ㄕˊ ㄕㄤˋ,in fact / in reality / actually / as a matter of fact / de facto / ipso facto,
事物,ㄕˋ ㄨˋ,thing / object,個
事先,ㄕˋ ㄒㄧㄢ,in advance / before the event / beforehand / prior,
勢力,ㄕˋ ㄌㄧˋ,power / (ability to) influence,
試驗,ㄕˋ ㄧㄢˋ,experiment / test / to experiment / experimental,次 / 個
收據,ㄕㄡ ㄐㄩˋ,receipt,張
收看,ㄕㄡ ㄎㄢˋ,to watch (a TV program),
收入,ㄕㄡ ㄖㄨˋ,to take in / income / revenue,筆 / 個
收拾,ㄕㄡ ㄕˊ,to put in order / to tidy up / to pack / to repair / (coll.) to sort sb out / to fix sb,
手電筒,ㄕㄡˇ ㄉㄧㄢˋ ㄊㄨㄥˇ,flashlight / electric hand torch,
手段,ㄕㄡˇ ㄉㄨㄢˋ,method / means (of doing sth) / strategy / trick,個
手工,ㄕㄡˇ ㄍㄨㄥ,handwork / manual,
手術,ㄕㄡˇ ㄕㄨˋ,(surgical) operation / surgery,個
首,ㄕㄡˇ,"head / chief / first (occasion, thing etc) / classifier for poems, songs etc",
首都,ㄕㄡˇ ㄉㄨ,capital (city),個
首先,ㄕㄡˇ ㄒㄧㄢ,first (of all) / in the first place,
受,ㄕㄡˋ,to receive / to accept / to suffer / subjected to / to bear / to stand / pleasant / (passive marker),
受,ㄕㄡˋ,to receive / to accept / to suffer / subjected to / to bear / to stand / pleasant / (passive marker),
受不了,ㄕㄡˋ ㄅㄨˋ ㄌㄧㄠˇ,unbearable / unable to endure / can't stand,
受到,ㄕㄡˋ ㄉㄠˋ,"to receive (praise, an education, punishment etc) / to be ...ed (praised, educated, punished etc)",
售,ㄕㄡˋ,to sell / to make or carry out (a plan or intrigue etc),
壽命,ㄕㄡˋ ㄇㄧㄥˋ,life span / life expectancy / lifetime (of a machine),
疏忽,ㄕㄨ ㄏㄨ,to neglect / to overlook / negligence / carelessness,
書房,ㄕㄨ ㄈㄤˊ,study (room) / studio,間
書籍,ㄕㄨ ㄐㄧˊ,books / works,
輸出,ㄕㄨ ㄔㄨ,to export / to output,
輸入,ㄕㄨ ㄖㄨˋ,to import / to input,
熟練,ㄕㄡˊ ㄌㄧㄢˋ,practiced / proficient / skilled / skillful,
熟人,ㄕㄡˊ ㄖㄣˊ,acquaintance / friend,
屬,ㄕㄨˇ,to join together / to fix one's attention on / to concentrate on,
屬於,ㄕㄨˇ ㄩˊ,to be classified as / to belong to / to be part of,
暑期,ㄕㄨˇ ㄑㄧˊ,summer vacation time,
束,ㄕㄨˋ,"to bind / bunch / bundle / classifier for bunches, bundles, beams of light etc / to control",
數,ㄕㄨˋ,frequently / repeatedly,
數量,ㄕㄨˋ ㄌㄧㄤˋ,amount / quantity / quantitative,個
數目,ㄕㄨˋ ㄇㄨˋ,amount / number,
樹林,ㄕㄨˋ ㄌㄧㄣˊ,woods / grove / forest,
刷,ㄕㄨㄚ,to select,
刷,ㄕㄨㄚ,to select,
刷子,ㄕㄨㄚ ㄗ˙,brush / scrub,把
刷卡,ㄕㄨㄚ ㄎㄚˇ,"to use a credit card (or swipe card, smart card etc)",
耍,ㄕㄨㄚˇ,"to play with / to wield / to act (cool etc) / to display (a skill, one's temper etc)",
摔,ㄕㄨㄞ,to throw down / to fall / to drop and break,
衰退,ㄕㄨㄞ ㄊㄨㄟˋ,to decline / to fall / to drop / to falter / a decline / recession (in economics),
甩,ㄕㄨㄞˇ,to throw / to fling / to swing / to leave behind / to throw off / to dump (sb),
率領,ㄕㄨㄞˋ ㄌㄧㄥˇ,to lead / to command / to head,
雙,ㄕㄨㄤ,two / double / pair / both / even (number),
雙胞胎,ㄕㄨㄤ ㄅㄠ ㄊㄞ,twin,對
雙方,ㄕㄨㄤ ㄈㄤ,bilateral / both sides / both parties involved,
水分,ㄕㄨㄟˇ ㄈㄣˋ,moisture content / (fig.) overstatement / padding,
水災,ㄕㄨㄟˇ ㄗㄞ,flood / flood damage,
稅,ㄕㄨㄟˋ,taxes / duties,
說服,ㄕㄨㄟˋ ㄈㄨˊ,to persuade / to convince / to talk sb over / Taiwan pr. [shui4 fu2],
順,ㄕㄨㄣˋ,to obey / to follow / to arrange / to make reasonable / along / favorable,
順,ㄕㄨㄣˋ,to obey / to follow / to arrange / to make reasonable / along / favorable,
順手,ㄕㄨㄣˋ ㄕㄡˇ,easily / without trouble / while one is at it / in passing / handy,
順序,ㄕㄨㄣˋ ㄒㄩˋ,sequence / order,
說不定,ㄕㄨㄛ ㄅㄨˋ ㄉㄧㄥˋ,can't say for sure / maybe,
碩士,ㄕㄨㄛˋ ㄕˋ,master's degree / person who has a master's degree / learned person,
絲,ㄙ,"silk / thread / trace / (cuisine) shreds or julienne strips / classifier: a thread (of cloud, smoke etc), a bit, an iota, a hint (of sth) etc",條
撕,ㄙ,to tear,
私立,ㄙ ㄌㄧˋ,"private (company, school etc)",
私人,ㄙ ㄖㄣˊ,private / personal / interpersonal / sb with whom one has a close personal relationship / a member of one's clique,
思索,ㄙ ㄙㄨㄛˇ,to think deeply / to ponder,
死,ㄙˇ,to die / impassable / uncrossable / inflexible / rigid / extremely / damned,
死亡,ㄙˇ ㄨㄤˊ,to die / death,
四處,ㄙˋ ㄔㄨˋ,all over the place / everywhere and all directions,
四處,ㄙˋ ㄔㄨˋ,all over the place / everywhere and all directions,
四方,ㄙˋ ㄈㄤ,four-way / four-sided / in all directions / everywhere,
四季,ㄙˋ ㄐㄧˋ,"four seasons, namely: spring 春, summer 夏, autumn 秋 and winter 冬",
四周,ㄙˋ ㄓㄡ,all around,
四週,ㄙˋ ㄓㄡ,all around,
飼養,ㄙˋ ㄧㄤˇ,to raise / to rear,
鬆,ㄙㄨㄥ,"loose / to loosen / to relax / floss (dry, fluffy food product made from shredded, seasoned meat or fish, used as a topping or filling)",
送行,ㄙㄨㄥˋ ㄒㄧㄥˊ,to see someone off / to throw someone a send-off party,
俗,ㄙㄨˊ,custom / convention / popular / common / coarse / vulgar / secular,
俗話,ㄙㄨˊ ㄏㄨㄚˋ,common saying / proverb,
俗話說,ㄙㄨˊ ㄏㄨㄚˋ ㄕㄨㄛ,as the proverb says / as they say...,
算,ㄙㄨㄢˋ,to regard as / to figure / to calculate / to compute,
算起來,ㄙㄨㄢˋ ㄑㄧˇ ㄌㄞˊ,to calculate / to estimate / in total / all told / (fig.) if you think about it,
算是,ㄙㄨㄢˋ ㄕˋ,considered to be / at last,
算帳,ㄙㄨㄢˋ ㄓㄤˋ,to reckon (accounting) / to balance an account / fig. to settle an account / to get one's revenge,
隨,ㄙㄨㄟˊ,to follow / to comply with / varying according to... / to allow / subsequently,
隨手,ㄙㄨㄟˊ ㄕㄡˇ,conveniently / without extra trouble / while doing it / in passing,
隨意,ㄙㄨㄟˊ ㄧˋ,as one wishes / according to one's wishes / at will / voluntary / conscious,
隨著,ㄙㄨㄟˊ ㄓㄜ˙,along with / in the wake of / following,
碎,ㄙㄨㄟˋ,to break down / to break into pieces / fragmentary,
歲數,ㄙㄨㄟˋ ㄕㄨˋ,age (number of years old),
孫女,ㄙㄨㄣ ㄋㄩˇ,son's daughter / granddaughter,
孫子,ㄙㄨㄣ ㄗ˙,grandson / son's son,
損失,ㄙㄨㄣˇ ㄕ,loss / damage / to lose / to suffer damage,個
損失,ㄙㄨㄣˇ ㄕ,loss / damage / to lose / to suffer damage,個
縮,ㄙㄨㄛ,to withdraw / to pull back / to contract / to shrink / to reduce / abbreviation / also pr. [su4],
縮短,ㄙㄨㄛ ㄉㄨㄢˇ,to curtail / to cut down,
縮水,ㄙㄨㄛ ㄕㄨㄟˇ,to shrink (in the wash) / fig. to shrink (of profits etc),
鎖,ㄙㄨㄛˇ,to lock up / to lock / lock,把
鎖,ㄙㄨㄛˇ,to lock up / to lock / lock,把
塌,ㄊㄚ,to collapse / to droop / to settle down,
踏,ㄊㄚˋ,to tread / to stamp / to step on / to press a pedal / to investigate on the spot,
抬頭,ㄊㄞˊ ㄊㄡˊ,"to raise one's head / to gain ground / account name, or space for writing the name on checks, bills etc",
太空,ㄊㄞˋ ㄎㄨㄥ,outer space,
攤子,ㄊㄢ ㄗ˙,booth / vendor's stall / organizational structure / scale of operations,
彈,ㄊㄢˊ,to pluck (a string) / to play (a string instrument) / to spring or leap / to shoot (e.g. with a catapult) / (of cotton) to fluff or tease / to flick / to flip / to accuse / to impeach / elastic (of materials),
談判,ㄊㄢˊ ㄆㄢˋ,to negotiate / negotiation / talks / conference,個
毯子,ㄊㄢˇ ㄗ˙,blanket,條 / 張 / 床 / 面
探,ㄊㄢˋ,to explore / to search out / to scout / to visit / to stretch forward,
探親,ㄊㄢˋ ㄑㄧㄣ,to go home to visit one's family,
探討,ㄊㄢˋ ㄊㄠˇ,to investigate / to probe,
趟,ㄊㄤˋ,"classifier for times, round trips or rows / a time / a trip",
燙,ㄊㄤˋ,to scald / to burn (by scalding) / to blanch (cooking) / to heat (sth) up in hot water / to perm / to iron / scalding hot,
燙,ㄊㄤˋ,to scald / to burn (by scalding) / to blanch (cooking) / to heat (sth) up in hot water / to perm / to iron / scalding hot,
掏,ㄊㄠ,to fish out (from pocket) / to scoop,
逃,ㄊㄠˊ,to escape / to run away / to flee,
逃避,ㄊㄠˊ ㄅㄧˋ,to escape / to evade / to avoid / to shirk,
逃走,ㄊㄠˊ ㄗㄡˇ,to escape / to flee / to run away,
陶瓷,ㄊㄠˊ ㄘˊ,pottery and porcelain / ceramics,
淘氣,ㄊㄠˊ ㄑㄧˋ,naughty / mischievous,
桃子,ㄊㄠˊ ㄗ˙,peach,
討,ㄊㄠˇ,to invite / to provoke / to demand or ask for / to send armed forces to suppress / to denounce or condemn / to marry (a woman) / to discuss or study,
套,ㄊㄠˋ,"to cover / to encase / cover / sheath / to overlap / to interleave / to model after / to copy / formula / harness / loop of rope / (fig.) to fish for / to obtain slyly / classifier for sets, collections / bend (of a river or mountain range, in place names) / tau (Greek letter Ττ)",
